mz,rt,netan_rank,netan_top_class,netan_score,netan_p_perm,netan_p_adj,netan_stability_rank,netan_stability_top_class,netan_selected_freq,netan_mean_rank,netan_median_rank,netan_stability_score,netan_stability_score_sd,LS10004,LS10006,LS10016-1,LS10023-2,LS10026-2,LS10027-3,LS10031-1,LS10036-2,LS10048-2A,LS10101-2A,LS10250-2,LS10122-10A,LS10028-2,LS10034-3,49,53,60,90,202,224,243,264,330,337,369,385,391,400,410,431,474,515,537,589,612,26,52,446,843,919,2042,2063,2094,2098,LS10009,LS10013-6,LS10014-3,LS10017-4,LS10011-3,LS10020-4,LS10010,LS10002-5,LS10008,LS10025-4
228.00981,20.83707505,1,Mayo,2.6810405254364014,9.999000030802563e-05,0.0017027958103303178,1,Mayo,0.76,259.96,1.0,2.2324884252995254,0.8278091980685904,0.0,0.0,0.0024425058827684883,0.0015684857243690967,0.0,0.0,0.0,0.0,0.009153367130619898,0.001316902809171689,0.0,0.0,0.0,0.0,0.06061942008431228,0.004540471989343051,0.0103476862277899,0.0,0.0,0.0,0.01266003820290732,0.0006139910408763386,0.004050864473689693,0.008695247784644516,0.005356195334130776,0.0016229554941984473,0.0,0.014383226293813882,0.0,0.07234988587744737,0.049576413678036155,0.05278023430660374,0.0,0.006019247416069884,0.0001686366574856653,0.005333157231079597,0.007907917847764475,0.03544531389336186,0.01043565080447795,0.005189896852719805,0.0,0.0,0.00027112652439924745,0.0011005550720247996,0.0,0.0,0.004557502330566678,0.0,0.015859186015014053,0.021570226121286777,0.0,0.0027494236122304998,1.0,0.013394563368980716
426.961142,36.02754702,2,Mayo,2.4495813846588135,9.999000030802563e-05,0.0017027958103303178,2,Mayo,0.74,387.26,4.0,2.041108727455139,0.8582921269866102,0.008426629015810882,0.007079429037871995,0.0,0.0,0.01709118716745803,0.11217614931920843,0.028797880513448622,0.065377580675194,0.0,0.006916671866975399,0.05531595158318764,0.2211144484946826,0.0,0.03865715475899752,0.059754001254900505,0.1167671378407006,0.00434598932556876,0.0,0.07572310193760809,0.025755660974767634,0.060682007343771584,0.07389487696904314,0.0862145339506067,0.11225671082156613,0.06411842678029786,0.02449429047506201,0.03471055297404294,0.17289303774360418,0.06888490250899754,0.07700156308311769,0.0,0.0,0.04352537766401477,0.03833812646740005,0.05573635740574971,0.06911478664023996,0.0,0.0,0.0,0.007061545148527217,0.06317127326791244,0.06645778856226939,0.0,0.04104089446155312,0.11882471531115055,0.12199092032655547,0.11987479080983399,0.04945958964828631,0.02067583838688697,0.016564171535772956,0.34273146926472653,0.09748590430755041,1.0,0.017192947289757066
290.0370869,41.81375211,3,Mayo,2.4429736137390137,9.999000030802563e-05,0.0017027958103303178,6,Mayo,0.7,800.96,4.0,1.9033340781927108,1.065063550035795,0.11507296588499917,0.07947184176460106,0.16521583456885022,0.15330301530523266,0.0886425978268906,0.011713463064656489,0.02369752476595848,0.026925420186335976,0.16073146793359971,0.036382414739083505,0.06712629306781118,0.03174253527829829,0.03695864830498073,0.2162276690095074,0.028989771377056228,0.05664854565092608,0.037248948028561116,0.02969704512245906,0.0,0.0202458149294708,0.05222645622519279,0.019582135309550077,0.024827614447613302,0.04207511092319007,0.021363283687203603,0.0,0.01782245554585208,0.030027544914651188,0.009703566503541051,0.01329901952207189,0.0,0.0,0.0,0.03015068601124003,0.013825722787388193,0.1003355569132102,0.0,0.0,0.0,0.04456385642680094,0.14011132866007175,0.0,0.07796005236393648,0.016949394508268215,0.013062847370072805,0.02778008979559434,0.017126121098862405,0.2743626410961888,0.062017905560416225,0.08694129732742986,0.021442258793095977,0.0,1.0,0.07680165204508282
466.81396,75.3617108,4,Mayo,2.438783884048462,9.999000030802563e-05,0.0017027958103303178,7,Mayo,0.7,1054.0,5.0,1.8483782735466958,1.1327338683046126,0.04376942988720974,0.07691843159985136,0.0,0.0,0.023361975573112793,0.07473783543479719,0.015339878464182659,0.027937247943205956,0.015460626399183663,0.016498022714527258,0.12531292390255325,0.14068891366744177,0.049025938898508925,0.031043823558573207,0.02601080150869515,0.03611609732354091,0.04637375509178732,0.0958908892442205,0.2023501194394934,0.16174259319752718,0.03527331317493914,0.002806069198753558,0.08270938063030568,0.010651610040145233,0.04287201664197733,0.08739757803184751,0.027142062679851798,0.04690672808914918,0.01373395316084896,0.05748293475669525,0.07092552648968589,0.0,0.20555216958771386,0.14813270336191423,0.013230357388789858,0.0,0.0980587696034382,0.0,0.08796769230347701,0.016417798647093234,0.043052650455027215,0.12840616884358266,0.027759558226753012,0.021768377320718964,0.0,0.0,0.0,0.0,0.05859967521270771,0.10792191964449789,0.09788827161169682,0.024649959711227947,1.0,0.016202781458588923
130.9638249,58.23281606,5,Mayo,2.3689534664154053,9.999000030802563e-05,0.0017027958103303178,8,Mayo,0.7,1340.3,7.0,1.7543201917409896,1.2364930481218113,0.023553751851363033,0.010267112270044685,0.00183248634962679,0.0,0.010493942770594622,0.02466165657251944,0.043200492817652286,0.016721039348006773,0.021563260497464806,0.009419230307060008,0.020044391768121433,0.02807473035430301,0.015433750727720975,0.3315300182312678,0.0074794335038011785,0.008060356662102192,0.02354079783394572,0.04772627574128388,0.03177017664535066,0.03513470044615105,0.0201191926254451,0.02484318767007657,0.049984216445056184,0.029703199575682265,0.0550240849880938,0.04972225509033831,0.017933908265396616,0.04187225114643044,0.019123635523723717,0.016535894127560135,0.010451269723098434,0.07985834700915391,0.0574076152267739,0.026509176619037577,0.02433599324922533,0.020335821559819,0.0,0.04697207072061377,0.016628622315978215,0.03775522124756128,0.05330643508348863,0.09183851788143199,0.0221969508778435,0.014841816702290315,0.013951495810075473,0.04677542249941441,0.025738914542609712,0.001055757205089817,0.04039379309442785,0.04179399666025963,0.01821545268810016,0.01763654448129002,1.0,0.009340672574764756
501.318178,137.8966313,6,Mayo,2.3317039012908936,9.999000030802563e-05,0.0017027958103303178,4,Mayo,0.7,666.44,8.0,1.841032667160034,0.9560285608768642,0.028558543391869966,0.007644703690104966,0.1637589945588576,0.10398140626396712,0.00891567522915962,0.1830937842978858,0.022878958376481375,0.03024549844802647,0.024642891310771714,0.09848679378526219,0.01687811791698912,0.0,0.03545923166222452,0.045539894476156806,0.12539288592419667,0.038721728731513125,0.07123792998709792,0.0,0.0,0.03803270761517806,0.039823949065301255,0.16201585877220936,0.03248232616990133,0.04338034845982084,0.07123792998709792,0.14589247985012865,0.21669611387551155,0.05742123884479685,0.033915036496372925,0.12560989663129044,0.20371956892962095,0.17005796161071737,0.0,0.012619711049851936,0.22809682384518518,0.016864859774048984,0.06853760463049333,0.09294491268117756,0.04289579375514417,0.15216964160167526,0.05011573068372739,0.029784441671213805,0.05512611035383504,0.02613518207265993,0.057492372315052116,0.0317565623543994,0.05381043202582989,0.048693222032904986,0.08015643491520537,0.03906115060610485,0.011800027376946286,0.04850725614443748,1.0,0.06173670188517278
248.170595,94.51365885,7,Mayo,2.325859308242798,9.999000030802563e-05,0.0017027958103303178,5,Mayo,0.7,759.28,8.5,1.862630707025528,0.9932532401539926,0.0,0.07693210997587875,0.07162528767718584,0.13500767663386845,0.12247799847591036,0.1275587512684819,0.0431275604441803,0.08450576782765777,0.1283799131592095,0.0075660704816473455,0.0,0.0,0.13743474733414568,0.0994243327873069,0.02555164642672117,0.0,0.025150552355581262,0.0,0.0,0.0,0.04735183018011289,0.028826801633743352,0.0,0.0,0.006589299916415387,0.0,0.0593204954592169,0.02371292730216692,0.0,0.06984941817665703,0.0,0.0,0.0,0.0,0.05023250379298787,0.0,0.0,0.05944053939583405,0.0,0.04387526413080452,0.1893946452381218,0.0,0.0,0.0,0.03313074348871864,0.1157071836263904,0.017925943205108374,0.07706728130545315,0.05740250755056566,0.3713500128882317,0.0,0.03687392767817742,1.0,0.01896875148109855
87.97262924,19.25818589,8,Norway,2.2780585289001465,9.999000030802563e-05,0.0017027958103303178,3,Norway,0.7,426.18,10.0,1.9250868904590606,0.8071583507238325,0.05049244928546644,0.0,0.0,0.0,0.0,0.09706497213408814,0.0824129451269976,0.0,0.0,0.0,0.0,0.22427972831643628,0.0,0.04565965724482311,0.0,0.0,0.0,0.20419437208644686,0.18188683520154192,0.10761505011542175,0.03384094759273598,0.0,0.04799502752017327,0.0,0.07431722514892673,0.1495980444430912,0.0,0.08905570017736,0.06567672460772041,0.0,0.0,0.03269254101460094,0.2634201561414867,0.13609092669227985,0.0,0.41942150292420294,0.0,0.0439483423020596,0.09754289565707154,0.0,0.06857637581920482,0.14765589193701267,0.06372366024528568,0.18648054797546365,0.0,0.0825131318503375,0.0,0.0,0.0,0.0,0.14002686807261233,0.020125775356484868,1.0,0.0
182.9772536,55.12076869,9,Mayo,2.237607717514038,9.999000030802563e-05,0.0017027958103303178,11,Mayo,0.66,1310.56,13.0,1.6631936791539192,1.1472972003669477,0.15758582885029412,0.0235488016609177,0.0,0.05413286983445661,0.05789714625510072,0.020930496886612977,0.0,0.0,0.012504603882040095,0.3203737504364318,0.0,0.07034274385596498,0.02196472862627917,0.0,0.03721229452783321,0.02452956631785511,0.004106035420941766,0.18582758490315077,0.15968182591813015,0.17182556275157548,0.030718744092627696,0.017015217636753125,0.14469086009766358,0.04865585330528519,0.08420548075638898,0.07314637077000592,0.03017394566012903,0.162178865162863,0.018189909490379266,0.029157726260086034,0.0,0.0,0.15211155041014385,0.05478898400267646,0.018342864352005345,0.0,0.0,0.0,0.10902404819312624,0.03390138222107375,0.04013107887321247,0.29599750531913843,0.16614081095108282,0.01747708999544865,0.0,0.0,0.0,0.0,0.0,0.0,0.06353737274224669,0.014256479422926687,1.0,0.05761882346238864
500.3123784,136.017198,10,Norway,2.206803560256958,9.999000030802563e-05,0.0017027958103303178,9,Mayo,0.68,905.74,13.0,1.7051200151443482,0.9952461524016586,0.015173908052035221,0.007422553125187468,0.1109925928351036,0.08727676625235484,0.011635577564143011,0.1590773146521072,0.0174013521957775,0.013909304459349696,0.026020616597371784,0.07340156116980745,0.008419053582655791,0.007892467113835254,0.022621553130869065,0.03123454639596655,0.0959741314717767,0.028123272689134268,0.0533747326402442,0.005885413977040432,0.0,0.03599574475744532,0.03593508786480223,0.15117054929925364,0.048676839119387666,0.033584274565404255,0.10752977482628062,0.27146632077356564,0.1905987945366134,0.051724531235960824,0.03730222815761395,0.11548026264056645,0.20451867638656485,0.1648232938311716,0.0027578593997236627,0.024538889125463027,0.22022620111703642,0.017700620972858662,0.08679333367580035,0.10899438866765121,0.08060119309909425,0.16966333724344435,0.046118236960061336,0.03904572003722161,0.08060119309909425,0.03917898310946594,0.041445008929797036,0.021369459591837777,0.056208825137091765,0.04695894285020018,0.10212329678590569,0.040535566692365146,0.005640514697814304,0.0449766361098256,1.0,0.050434480180096976
